,title,year,rating,content,link
414,415. Gentle Art of Swedish Death Cleaning,2023–,"7.4
 (277)","Based on the Swedish practice of döstädning, where people get rid of unnecessary belongings and put their homes in order.",https://www.imdb.com/title/tt19401412/?ref_=sr_t_415
415,416. Making Fun,2022–,"7.2
 (800)","Grumpy expert maker Jimmy DiResta, and his 4 real-life friends Paul Jackman, Pat Lap, Derek Forestier, and John Graziano, field kids' ideas for delightfully pointless inventions. Then - if Jimmy's in the mood - he and his pals build 'em.",https://www.imdb.com/title/tt17737382/?ref_=sr_t_416
416,417. The Starlet,2005–,"6.0
 (60)","Set in the glitter of Tinsel Town, The Starlet, has one purpose - to discover the next young actress with the potential to become a major star. Watch as 10 beautiful aspiring actresses live in the same house and compete against each other for the chance to become 2005's next big thing. In order to be named the quintessential Hollywood ""It"" girl, one of the contestants must prove she's got more talent, more star quality and more attitude than all the rest by surviving an intense Hollywood boot camp, complete with harrowing acting classes, agonizing live performances and brutally honest critiques by a panel of renowned show business insiders. The prize is truly a once-in-a-lifetime opportunity: a career-launching role on The WB's hit drama One Tree Hill, a one-year management contract with 3 Arts Entertainment and an overall talent deal with The WB.",https://www.imdb.com/title/tt0449462/?ref_=sr_t_417
417,418. My Sibling's Romance,2024–,"9.2
 (17)","Dating show with a family twist. Five pairs of biological brothers and sisters, share a house to assist each other in finding love. No one can reveal who their sibling is. Through dates and texts, romantic feelings will be revealed.",https://www.imdb.com/title/tt31867638/?ref_=sr_t_418
418,419. The Climb,2023,"6.8
 (536)",Amateur climbers go through a series of mental and physical challenges in a competition to crown the world's best amateur climber.,https://www.imdb.com/title/tt15082926/?ref_=sr_t_419
419,420. Five Star Chef,2023–,"6.5
 (845)",Seven professional chefs compete to bring their fine-dining concept to the historic Palm Court restaurant at London's luxurious Langham Hotel.,https://www.imdb.com/title/tt28098032/?ref_=sr_t_420
420,421. Surviving Death,2021,"6.2
 (2.4K)","Explores questions that have been contemplated throughout time: What does it mean to die, and is death the end of our existence? Weaving together innovative new research with firsthand accounts from those who’ve been close to death.",https://www.imdb.com/title/tt13649692/?ref_=sr_t_421
421,422. Late Night Double-D Features with the B-Movie Babes,2018–,"7.4
 (48)","""Late Night Double-D Features"" (aka ""Late Night Double-D Features with the B-Movie Babes"") was a Canadian hosted horror movie show airing on Silver Screen Classics TV on Sundays from 1 July 2018.",https://www.imdb.com/title/tt8026868/?ref_=sr_t_422
422,423. Dog Whisperer with Cesar Millan,2004–2016,"7.9
 (2.8K)",Dog lover Cesar Millan has an uncanny ability to rehabilitate problem dogs of all shapes and sizes.,https://www.imdb.com/title/tt0423642/?ref_=sr_t_423
423,424. Flea Market Flip,2012–,"7.0
 (487)",Contestants buy and repurpose flea market finds to earn a profit.,https://www.imdb.com/title/tt2432822/?ref_=sr_t_424
424,425. Celebrity SAS: Who Dares Wins,2019–2024,"7.7
 (264)","Twelve famous faces embark on one of the toughest tests of their lives, for Stand Up To Cancer. And Ant Middleton and his instructors are making no allowances for their celebrity status.",https://www.imdb.com/title/tt11716332/?ref_=sr_t_425
425,426. The Crocodile Hunter,1996–2004,"7.7
 (3.2K)",Steve and wife Terri educate and entertain on the subject of Australia's all too often dangerous wildlife.,https://www.imdb.com/title/tt0229119/?ref_=sr_t_426
426,427. Secret Chef,2023–,"6.9
 (387)","Ten chefs rate different foods anonymously through a series of blind tastings. With their identities hidden, everything will be hidden except what matters most - the food.",https://www.imdb.com/title/tt21030146/?ref_=sr_t_427
427,"428. Fuck, That's Delicious",2016–,"8.1
 (1.1K)","Rapper Action Bronson travels the world performing with friends, and trying new foods.",https://www.imdb.com/title/tt5866048/?ref_=sr_t_428
428,429. Food Network Star,2005–,"6.4
 (1.2K)",A food network contest to find a well rounded great chef with a unique point of view and hosting type of personality to host their own show!,https://www.imdb.com/title/tt0461727/?ref_=sr_t_429
429,430. The Vet Life,2016–,"8.0
 (381)",This is about 3 vet that live in Houston TX,https://www.imdb.com/title/tt5864498/?ref_=sr_t_430
430,431. Trixie Motel,2022,"7.7
 (962)","Trixie will face the reality of having invested her life savings into a rundown motel in super-trendy Palm Springs, California.",https://www.imdb.com/title/tt14721926/?ref_=sr_t_431
431,432. Kees van der Spek: Oplichters Aangepakt!,2019–,"8.5
 (44)",In 'Oplichters Aangepakt' (formerly known as 'Ontmaskert') Kees van der Spek travels around the world with hidden camera's to expose scammers.,https://www.imdb.com/title/tt14435292/?ref_=sr_t_432
432,433. Full Custom Garage,2014–,"8.5
 (220)","Features car builder Ian Roussel at work, creating one-of-a kind vehicles. With different builds in each episode, Ian's unique fabrication will be put to the test. It's gonna be a wild ride and he ain't stopping till it's Full Custom.",https://www.imdb.com/title/tt3646104/?ref_=sr_t_433
433,434. The Pioneer Woman,2011–,"6.2
 (642)","Ree Drummond, a city gal-turned-rancher's wife, creates down-home dishes on her picturesque Oklahoma ranch.",https://www.imdb.com/title/tt2151337/?ref_=sr_t_434
434,435. Miriam and Alan: Lost in Scotland,2021–2022,"7.8
 (194)","Miriam Margolyes and Alan Cumming roll back the decades and return to their Scottish roots. Part rediscovery, part revelation, they follow them as they take to the road and motorhome their way through Scotland's Highlands.",https://www.imdb.com/title/tt16296922/?ref_=sr_t_435
435,436. Bikini Destinations,2003–,"7.1
 (112)",A famous program features bikini models in spectacular photo shoots in faraway places. HD cameras capture their beauty and enjoyment of life.,https://www.imdb.com/title/tt0445867/?ref_=sr_t_436
436,437. Texas Metal,2017–,"7.1
 (248)","See how this Texas team always has its hands full with noisy clients, demanding construction, and tight deadlines.",https://www.imdb.com/title/tt7614908/?ref_=sr_t_437
437,438. The Colony,2009–,"7.7
 (2K)",A group of strangers gathered for three months to test out the concept of rebuilding civilization.,https://www.imdb.com/title/tt1470018/?ref_=sr_t_438
438,439. Love It or List It Vancouver,2013–,"6.8
 (664)","A spinoff of HGTV's successful show (2008 -) featuring real estate in the Toronto area. The new and younger professionals in 'Love It or List It, Too' are competing for the final house choices of couples seeking their future perfect abode, but in Vancouver locations. The new offering is refreshing, with more impressive real estate and locations. Like all 'reality' programs involving completions, both versions are scripted to show antagonistic characters, but 'Too' appears to have slightly less head-butting and sophomoric sparring. Both shows offer good info about buying and renovating a varied selection of houses in various environments.",https://www.imdb.com/title/tt2665420/?ref_=sr_t_439
439,440. Brothers in Arms,2018–,"6.3
 (57)","With nearly two decades of combined military and police experience, Rocco and Eli are about to join forces and embark on a new adventure.",https://www.imdb.com/title/tt9325546/?ref_=sr_t_440
440,441. Strictly Come Dancing,2004–,"6.1
 (1.9K)",A dance competition where celebrities compete to be crowned the winner. Who is kicked out of the competition each week is decided by the judges' scores and viewer votes.,https://www.imdb.com/title/tt0411027/?ref_=sr_t_441
441,442. Hyperdrive,2019,"8.0
 (2.9K)",Tournament series where drivers from around the world compete on one of the largest automotive obstacle courses ever made.,https://www.imdb.com/title/tt8911552/?ref_=sr_t_442
442,443. Breaking News,2018–,"7.3
 (117)","In this newsroom, breaking means losing. Our reporters don't know what's about to be on the teleprompter, and every laugh is a point against them.",https://www.imdb.com/title/tt10887470/?ref_=sr_t_443
443,444. Heartbreak Island,2018–,"6.3
 (70)","Heartbreak Island will set hearts racing and temperatures rising when a group of single guys and girls put everything on the line in a bid to find their perfect match and be in with the chance of winning $100,000.",https://www.imdb.com/title/tt10726456/?ref_=sr_t_444
444,445. 100 Day Dream Home,2019–,"6.7
 (210)","A husband-and-wife team from Tampa, Florida, making dream homes come true. She's the Realtor, he's the developer and together they help clients both design and build the perfect house from the ground up in 100 days or less.",https://www.imdb.com/title/tt12169564/?ref_=sr_t_445
445,446. Find It Fix It Flog It,2016–2022,"7.6
 (100)",Henry Cole and Simon O'Brien travel across the UK to find unique items lost in people's homes to fix up for a profit.,https://www.imdb.com/title/tt9710812/?ref_=sr_t_446
446,447. Jail,2007–,"6.8
 (461)",TV Show that documents the events that happen in different jails across the United States.,https://www.imdb.com/title/tt1128727/?ref_=sr_t_447
447,448. Hoffman Family Gold,2022–,"6.1
 (299)","A mining partner in Alaska has invested in nearly 2,500 acres of rugged land, and they're about to go belly up. Todd will try to turn around the operation. Will he be able to do it in just six weeks before the winter season sets in?",https://www.imdb.com/title/tt14141684/?ref_=sr_t_448
448,449. School of Chocolate,2021,"7.6
 (2.4K)","Eight top pastry and chocolate professionals elevate their skills under the supervision of world-renowned chocolatier, Amaury Guichon.",https://www.imdb.com/title/tt15172154/?ref_=sr_t_449
449,450. Mathis Court with Judge Mathis,2023–,"7.1
 (10)",Judge Greg Mathis comes back to host an all new court show which involves him listening to and rendering verdicts on small claims court cases.,https://www.imdb.com/title/tt26770420/?ref_=sr_t_450
450,451. Bizarre Foods with Andrew Zimmern,2006–,"7.7
 (2.6K)",Host Andrew Zimmern explores various cultures through their cuisines.,https://www.imdb.com/title/tt1138645/?ref_=sr_t_451
451,452. Sweet Home Oklahoma,2017,"7.7
 (119)","Jennifer Welch, Josh Welch, Lee Murphy, and Angie ""Pumps"" Sullivan proudly embrace-but unabashedly stand out from-their idyllic hometown. No feelings are spared when it comes to approaching burning issues, amongst themselves or with the world at large.",https://www.imdb.com/title/tt6710612/?ref_=sr_t_452
452,453. Spökjakt,2019–2024,"6.7
 (218)",Swedish celebrities Jocke & Jonna's journey exploring well-known haunted places around Sweden and Europe,https://www.imdb.com/title/tt14898638/?ref_=sr_t_453
453,454. Celebrity Race Across the World,2023–,"7.6
 (150)","Our famous faces and a partner have to get from one side of the planet to the other without the luxuries of air travel, credit cards, smartphones or access to the internet.",https://www.imdb.com/title/tt11098386/?ref_=sr_t_454
454,455. RuPaul's Secret Celebrity Drag Race,2020–,"6.9
 (1.9K)","Three celebrities compete every episode and undergo complete drag transformations. In the end, one celebrity is crowned America's Next Celeb Drag Superstar and wins prize money for their charity of choice.",https://www.imdb.com/title/tt11187480/?ref_=sr_t_455
455,456. The Jury: Murder Trial,2024,"6.9
 (199)",How much can we trust our justice system? This landmark experiment follows the restaging of a real-life murder trial in front of two juries of ordinary people. Will they reach the same verdict? Shown over 4 Consequtive Days.,https://www.imdb.com/title/tt28615598/?ref_=sr_t_456
456,457. Busted!,2018–2021,"7.7
 (1.2K)",A whodunit variety show featuring some of of the biggest names in K-Pop and K-Drama.,https://www.imdb.com/title/tt8328460/?ref_=sr_t_457
457,458. Drink Masters,2022–,"6.7
 (1.2K)","Twelve innovative mixologists from around the world infuse, stir and blend through a series of high-stakes cocktail challenges to win a life-changing prize and the title of The Ultimate Drink Master",https://www.imdb.com/title/tt21840870/?ref_=sr_t_458
